"SPEC_GENUS","SPEC_NAME","SPEC_POPULAR_NAME","SPEC_FAMILY","SPEC_NATURAL_RANGE","SPEC_REDLIST_URL","REDLIST_CODE",
"Myrmecobius","fasciatus","Numbat","MYRMECOBIIDAE","Occurs naturally in Dryandra and Perup in south-western Western Australia","http://www.iucnredlist.org/apps/redlist/details/14222/0","EN",
"Sarcophilus","harrisii","Tasmanian Devil","DASYURIDAE","Found throughout mainland Tasmania Australia; an area of 64 030 sqkm","http://www.iucnredlist.org/apps/redlist/details/40540/0","EN",
"Macrotis","lagotis","Greater Bilby","THYLACOMYIDAE","Formerly over 70% of the mainland Australia now only Tanami; Gibson and the Great Sandy Deserts","http://www.iucnredlist.org/apps/redlist/details/12650/0","VU",
"Lasiorhinus","krefftii","Northern Hairy-nosed Wombat","VOMBATIDAE","Currently restricted to Epping Forest National Park; central Queensland","http://www.iucnredlist.org/apps/redlist/details/11343/0","CR",
"Setonix","brachyurus","Quokka","MACROPODIDAE","Endemic to the south-west of Western Australia; Australia; including Rottnest and Bald Islands","http://www.iucnredlist.org/apps/redlist/details/20165/0","VU",
"Acinonyx","jubatus","Cheetah","FELIDAE","Occur widely but sparsely in Africa; have disappeared from 76% of their historic range","http://www.iucnredlist.org/apps/redlist/details/219/0","VU",
"Diceros","bicornis","Black Rhinoceros","RHINOCEROTIDAE","Four recognized ecotypes/subspecies of Black Rhinoceros occupying different areas of Africa","http://www.iucnredlist.org/apps/redlist/details/6557/0","CR",
"Equus","zebra","Mountain Zebra","EQUIDAE","Southern parts of South Africa through Namibia and into extreme south-western Angola","http://www.iucnredlist.org/apps/redlist/details/7960/0","VU",
"Panthera","leo","Lion","FELIDAE","Most countries in sub-Saharan Africa.  Most lion range is in eastern and southern Africa (77%)","http://www.iucnredlist.org/apps/redlist/details/15951/0","VU",
"Hippopotamus","amphibius","Common Hippopotamus","HIPPOPOTAMIDAE","Many countries of sub-Saharan Africa; disappeared from most of SA except for Kruger National Park","http://www.iucnredlist.org/apps/redlist/details/10103/0","VU",
"Equus","grevyi","Grevy's Zebra","EQUIDAE","Grevy's Zebra is confined to the Horn of Africa, specifically Ethiopia and Kenya.","http://www.iucnredlist.org/apps/redlist/details/7950/0","EN",
"Antilope","cervicapra","Blackbuck","BIOVIDAE","Occurred across Indian subcontinent south of the Himalayas, now extinct in Bangladesh and Pakistan","https://www.iucnredlist.org/species/1681/50181949","LC",
